label,instance_id,n_frames,f0,f1
drink,3,55,-0.02,-0.06
soon,1,72,-0.03,-0.07
different,2,55,0.04,-0.0
draw,3,81,-0.1,0.04
shop,3,54,-0.11,0.03
exit,2,54,-0.08,0.02
hear,3,53,-0.02,-0.07
building,1,73,-0.01,-0.07
not,my,55,-0.11,-0.01
make,2,56,-0.02,-0.02
take,1,51,-0.01,-0.07
deaf,2,55,-0.03,-0.06
glove,1,64,-0.08,0.03
spend,3,55,-0.06,-0.01
forget,2,57,-0.07,-0.15
question,2,52,0.0,-0.04
wild,1,83,-0.08,-0.15
same,1,53,-0.11,-0.05
hot,1,72,-0.07,-0.16
which,2,55,-0.07,-0.16
juice,2,57,-0.11,-0.15
Norway,1,55,-0.06,-0.15
please,1,52,-0.08,-0.16
hot,2,54,-0.05,-0.15
stubborn,2,50,-0.1,-0.01
crazy,3,56,-0.06,-0.17
Norway,3,57,-0.05,-0.15
danger,2,54,-0.05,-0.16
share,2,67,-0.04,-0.1
crazy,1,55,-0.05,-0.16
spend,2,57,-0.12,-0.13
glove,2,72,-0.12,-0.1
stubborn,3,49,-0.1,0.05
read,3,66,-0.17,-0.1
spend,1,56,-0.09,-0.1
write,1,59,-0.17,-0.11
more,3,51,-0.05,-0.15
research,3,63,-0.06,-0.01
buy,1,55,-0.17,-0.11
tray,1,56,-0.0,-0.04
is_true_,1,52,-0.06,-0.13
answer,3,52,-0.01,-0.05
later,1,54,-0.05,-0.04
mine,3,47,-0.05,-0.17
paper,2,56,-0.1,-0.12
ready,3,53,-0.18,-0.1
computer_PC_,3,57,-0.06,-0.01
how,1,50,-0.05,-0.11
surprise,3,51,-0.06,-0.17
drink,2,52,-0.07,-0.16
responsible,2,61,-0.18,0.07
question,3,56,-0.07,-0.09
later,3,61,-0.02,-0.1
think,2,52,-0.05,-0.16
head,2,49,-0.02,-0.15
make,1,54,-0.05,-0.1
how,3,50,-0.07,-0.14
polite,2,51,-0.06,-0.15
temper,2,54,-0.12,0.08
I,2,51,-0.06,-0.16
surprise,2,50,-0.07,-0.15
boy,1,60,-0.06,-0.16
no,2,53,-0.07,-0.17
his_hers,2,50,-0.05,-0.15
change_mind_,3,54,-0.05,-0.16
flash,light,54,-0.0,-0.16
which,3,56,-0.06,-0.15
yes,3,57,-0.07,-0.18
alive,3,54,-0.05,-0.16
all,3,54,-0.07,-0.15
answer,2,54,-0.06,-0.04
who,1,52,-0.07,-0.16
deaf,3,52,-0.05,-0.17
hear,1,53,-0.06,-0.17
eat,3,59,-0.07,-0.17
will,2,51,-0.05,-0.17
research,2,58,-0.06,0.0
draw,1,57,-0.2,-0.1
think,3,50,-0.02,-0.15
us,3,51,-0.05,-0.15
right,3,47,-0.06,-0.15
same,3,64,0.0,-0.04
ready,2,50,-0.18,-0.12
draw,2,56,-0.08,-0.16
love,2,52,0.0,0.03
pen,2,55,-0.05,-0.16
pen,3,53,-0.06,-0.15
danger,1,54,-0.11,-0.17
lose,2,75,-0.12,-0.09
cost,2,50,-0.13,-0.04
come,2,55,-0.06,-0.15
not,my,56,-0.13,-0.11
man,1,53,-0.05,-0.15
sorry,2,54,-0.07,-0.15
give,3,51,-0.14,-0.11
happy,1,55,-0.17,-0.1
drink,1,53,-0.07,-0.16
wrong,1,48,-0.06,-0.15
right,1,54,-0.07,-0.17
buy,2,52,-0.16,-0.1
polite,3,51,-0.06,-0.17
exit,3,59,-0.07,-0.04
flash,light,56,0.02,-0.16
maybe,2,53,-0.06,-0.16
computer_PC_,2,59,-0.07,-0.02
Norway,2,56,-0.06,-0.16
how,2,60,-0.09,-0.16
think,1,52,-0.1,-0.17
why,1,78,-0.08,-0.16
God,2,59,-0.08,-0.12
God,3,55,-0.01,-0.15
yes,1,53,-0.07,-0.16
temper,1,55,-0.13,0.08
give,2,60,-0.17,-0.11
stubborn,1,52,-0.09,-0.05
tray,3,59,0.0,-0.0
love,3,58,-0.05,-0.03
when,2,57,-0.07,-0.15
temper,3,51,-0.11,0.17
science,1,65,-0.08,-0.17
building,3,72,-0.06,-0.15
sorry,1,59,-0.05,-0.16
is_true_,2,53,-0.07,-0.13
zero,2,51,-0.07,-0.15
answer,1,52,-0.07,-0.04
different,1,48,0.02,-0.06
us,2,54,-0.05,-0.15
man,3,50,-0.06,-0.16
name,1,56,-0.06,-0.15
danger,3,52,-0.07,-0.16
soon,2,55,-0.08,-0.15
write,2,62,-0.15,-0.07
share,3,58,-0.06,-0.12
cost,3,53,-0.12,-0.1
ready,1,58,-0.18,-0.11
shop,2,54,-0.14,-0.1
thank,2,53,-0.05,-0.16
same,2,53,-0.04,-0.06
wait_notyet_,2,56,-0.11,-0.1
hello,2,53,-0.05,-0.16
know,3,51,-0.06,-0.15
responsible,3,59,-0.12,-0.01
go,1,51,0.01,0.01
yes,2,53,-0.07,-0.16
wait_notyet_,3,55,-0.06,0.02
juice,3,57,-0.12,-0.16
deaf,1,70,-0.06,-0.17
which,1,64,-0.06,-0.17
take,2,75,-0.06,-0.15
is_true_,3,53,-0.07,-0.12
girl,2,55,-0.06,-0.15
love,1,57,-0.12,-0.11
name,2,51,-0.08,-0.15
give,1,55,-0.11,-0.05
forget,3,55,-0.06,-0.15
thank,3,50,-0.05,-0.17
forget,1,57,-0.07,-0.15
joke,2,54,-0.06,-0.17
read,1,55,-0.18,-0.1
boy,2,54,-0.06,-0.17
zero,3,48,-0.06,-0.15
wild,2,53,-0.08,-0.16
cold,2,77,-0.12,0.01
science,2,63,-0.12,-0.16
wait_notyet_,1,48,-0.07,0.06
come,1,52,-0.05,-0.16
hello,3,55,-0.03,-0.17
why,2,54,-0.05,-0.15
why,3,56,-0.07,-0.15
zero,1,51,-0.07,-0.15
hear,2,52,-0.06,-0.15
happy,3,56,-0.12,-0.13
please,2,54,-0.06,-0.17
glove,3,52,-0.12,-0.1
where,2,59,-0.23,-0.16
joke,1,56,-0.05,-0.15
maybe,3,48,-0.06,-0.15
later,2,55,-0.06,-0.11
cold,3,50,-0.1,0.04
name,3,50,-0.0,-0.15
money,2,54,-0.13,-0.15
mine,2,52,-0.07,-0.15
you,1,50,-0.05,-0.16
hello,1,50,-0.07,-0.16
flash,light,55,0.04,-0.16
responsible,1,60,-0.17,-0.08
change_mind_,1,59,-0.09,-0.16
more,1,53,-0.08,-0.15
take,3,54,-0.06,-0.17
come,3,48,-0.06,-0.16
go,2,57,-0.0,0.0
God,1,65,-0.08,-0.16
write,3,65,-0.12,-0.1
hurt,3,55,-0.06,-0.15
juice,1,56,-0.12,-0.14
head,3,58,-0.06,-0.16
change_mind_,2,56,-0.06,-0.16
sorry,3,56,-0.06,-0.16
joke,3,53,-0.06,-0.16
head,1,56,-0.06,-0.16
will,1,52,-0.09,-0.17
buy,3,56,-0.12,-0.08
who,2,59,-0.06,-0.17
tray,2,58,-0.05,-0.05
no,1,51,-0.08,-0.16
money,1,54,-0.18,-0.1
when,3,54,-0.05,-0.15
pen,1,55,-0.08,-0.15
all,2,56,-0.05,-0.17
different,3,67,0.02,-0.1
innocent,2,60,-0.05,-0.15
will,3,52,-0.07,-0.15
computer_PC_,1,60,-0.07,0.01
hurry,1,48,-0.06,-0.01
make,3,54,-0.02,-0.1
his_hers,1,51,-0.07,-0.16
you,3,50,-0.07,-0.16
hurt,1,53,-0.05,-0.16
where,3,51,-0.25,-0.15
what,2,49,-0.06,-0.16
alive,2,55,-0.05,-0.16
innocent,3,49,-0.0,-0.17
girl,3,52,-0.07,-0.17
all,1,53,-0.07,-0.16
read,2,75,-0.16,-0.08
right,2,52,-0.05,-0.17
shop,1,55,-0.17,-0.09
paper,1,69,-0.12,-0.08
lose,3,51,-0.07,-0.04
wrong,3,48,-0.06,-0.15
voluntary,2,57,-0.05,-0.16
what,1,50,-0.05,-0.16
wrong,2,55,-0.07,-0.16
money,3,54,-0.13,-0.14
research,1,60,-0.06,-0.03
wild,3,62,-0.09,-0.16
polite,1,55,-0.1,-0.17
hot,3,49,-0.09,-0.15
know,1,54,-0.05,-0.15
when,1,73,-0.05,-0.16
sad,2,62,-0.05,-0.15
you,2,50,-0.07,-0.15
surprise,1,55,-0.07,-0.16
not,my,51,-0.17,-0.09
voluntary,3,56,-0.07,-0.17
alive,1,55,-0.08,-0.15
hurry,2,53,-0.08,-0.1
building,2,63,-0.06,-0.11
exit,1,53,-0.11,-0.06
I,1,53,-0.07,-0.15
mine,1,59,-0.07,-0.15
science,3,56,-0.05,-0.15
question,1,48,-0.05,-0.1
girl,1,55,-0.05,-0.15
soon,3,55,-0.05,-0.15
eat,1,56,-0.05,-0.15
cost,1,57,-0.12,-0.15
innocent,1,53,-0.07,-0.16
eat,2,52,-0.07,-0.17
sad,1,55,-0.1,-0.17
us,1,49,-0.06,-0.16
no,3,53,-0.07,-0.16
what,3,49,-0.06,-0.15
his_hers,3,51,-0.06,-0.15
I,3,46,-0.08,-0.15
voluntary,1,60,-0.09,-0.17
where,1,57,-0.22,-0.15
lose,1,54,-0.12,-0.1
cold,1,54,-0.12,-0.02
hurt,2,58,-0.06,-0.16
paper,3,54,-0.05,-0.06
happy,2,54,-0.17,-0.1
thank,1,53,-0.05,-0.17
hurry,3,51,-0.09,-0.1
go,3,54,-0.05,-0.06
please,3,49,-0.06,-0.17
more,2,50,-0.06,-0.17
maybe,1,51,-0.06,-0.15
sad,3,69,-0.07,-0.16
boy,3,52,-0.05,-0.17
share,1,58,-0.08,-0.1
who,3,54,-0.04,-0.15
crazy,2,53,-0.07,-0.17
man,2,52,-0.06,-0.16
know,2,74,-0.07,-0.17
drink,3,49,-0.05,-0.17
soon,1,54,-0.1,-0.15
different,2,53,-0.02,-0.1
draw,3,58,-0.18,-0.11
shop,3,59,-0.12,-0.07
exit,2,51,-0.05,-0.03
hear,3,55,-0.03,-0.15
building,1,62,-0.02,-0.05
not,my,49,-0.16,-0.05
make,2,52,-0.06,-0.1
take,1,51,-0.09,-0.16
deaf,2,53,-0.06,-0.16
glove,1,58,-0.12,-0.03
spend,3,55,-0.11,-0.1
forget,2,52,-0.03,-0.14
question,2,58,0.01,-0.03
wild,1,54,-0.06,-0.15
same,1,53,-0.05,-0.09
hot,1,49,-0.03,-0.16
which,2,55,-0.03,-0.14
juice,2,53,-0.06,-0.13
Norway,1,59,-0.05,-0.14
please,1,53,-0.06,-0.16
hot,2,50,-0.04,-0.16
stubborn,2,49,-0.06,0.15
crazy,3,59,-0.04,-0.15
Norway,3,58,-0.04,-0.16
danger,2,54,-0.04,-0.16
share,2,63,-0.03,-0.12
crazy,1,58,-0.04,-0.16
spend,2,54,-0.09,-0.13
glove,2,55,-0.05,-0.04
stubborn,3,56,-0.06,0.07
read,3,60,-0.16,-0.1
spend,1,60,-0.05,-0.15
write,1,65,-0.14,-0.14
more,3,49,-0.06,-0.16
research,3,59,0.01,0.02
buy,1,80,-0.12,-0.09
tray,1,62,0.03,-0.05
is_true_,1,52,-0.05,-0.14
answer,3,53,-0.02,-0.04
later,1,57,-0.04,-0.1
mine,3,51,-0.02,-0.15
paper,2,57,-0.05,-0.13
ready,3,77,-0.14,-0.05
computer_PC_,3,65,-0.05,-0.05
how,1,74,-0.02,-0.12
surprise,3,54,-0.05,-0.16
drink,2,52,-0.04,-0.14
responsible,2,59,-0.11,-0.01
question,3,53,-0.0,-0.03
later,3,58,-0.0,-0.04
think,2,52,-0.06,-0.16
head,2,57,-0.04,-0.16
make,1,82,-0.01,-0.09
how,3,78,-0.04,-0.12
polite,2,54,-0.03,-0.15
temper,2,55,-0.07,0.05
I,2,52,-0.05,-0.16
surprise,2,52,-0.02,-0.15
boy,1,53,-0.04,-0.15
no,2,52,-0.06,-0.14
his_hers,2,47,-0.06,-0.16
change_mind_,3,57,-0.05,-0.15
flash,light,59,0.04,-0.15
which,3,55,-0.05,-0.16
yes,3,84,-0.03,-0.15
alive,3,52,-0.04,-0.16
all,3,69,-0.05,-0.14
answer,2,61,-0.04,-0.1
who,1,52,-0.04,-0.16
deaf,3,54,-0.04,-0.15
hear,1,53,-0.02,-0.16
eat,3,55,-0.04,-0.16
will,2,51,-0.04,-0.16
research,2,60,-0.05,0.01
draw,1,65,-0.13,-0.11
think,3,52,-0.03,-0.15
us,3,54,-0.06,-0.16
right,3,51,-0.05,-0.09
same,3,57,0.04,-0.03
ready,2,58,-0.11,-0.12
draw,2,88,-0.13,-0.04
love,2,60,0.08,0.04
pen,2,54,-0.06,-0.16
pen,3,55,-0.04,-0.16
danger,1,53,-0.03,-0.15
lose,2,56,-0.02,-0.02
cost,2,51,-0.08,-0.05
come,2,50,-0.04,-0.16
not,my,52,-0.1,-0.05
man,1,52,-0.02,-0.16
sorry,2,58,-0.05,-0.16
give,3,52,-0.09,-0.09
happy,1,58,-0.08,-0.09
drink,1,57,-0.04,-0.15
wrong,1,52,-0.05,-0.15
right,1,50,0.0,-0.14
buy,2,60,-0.11,-0.07
polite,3,52,-0.04,-0.16
exit,3,57,-0.06,-0.04
flash,light,56,0.04,-0.14
maybe,2,51,-0.06,-0.17
computer_PC_,2,63,-0.05,-0.03
Norway,2,56,-0.03,-0.16
how,2,59,-0.06,-0.15
think,1,51,-0.03,-0.16
why,1,57,-0.05,-0.15
God,2,53,0.01,-0.1
God,3,53,0.01,-0.09
yes,1,56,-0.05,-0.16
temper,1,58,-0.09,-0.09
give,2,52,-0.11,-0.1
stubborn,1,52,-0.05,0.05
tray,3,59,0.03,-0.02
love,3,54,-0.01,0.02
when,2,56,-0.04,-0.16
temper,3,53,-0.06,0.06
science,1,58,-0.04,-0.14
building,3,80,-0.05,-0.16
sorry,1,53,0.01,-0.17
is_true_,2,57,-0.11,-0.15
zero,2,52,-0.04,-0.14
answer,1,54,-0.04,-0.04
different,1,55,0.05,-0.07
us,2,53,-0.03,-0.15
man,3,51,-0.05,-0.16
name,1,51,-0.05,-0.15
danger,3,53,-0.04,-0.16
soon,2,55,-0.04,-0.16
write,2,78,-0.14,-0.1
share,3,54,0.01,-0.06
cost,3,52,-0.09,-0.07
ready,1,53,-0.11,-0.09
shop,2,53,-0.09,-0.04
thank,2,66,-0.04,-0.15
same,2,69,-0.06,-0.11
wait_notyet_,2,52,-0.07,0.07
hello,2,71,-0.06,-0.15
know,3,51,-0.03,-0.16
responsible,3,60,-0.08,0.03
go,1,52,0.01,0.01
yes,2,56,-0.05,-0.16
wait_notyet_,3,58,-0.09,0.04
juice,3,54,-0.12,-0.09
deaf,1,54,-0.05,-0.16
which,1,56,-0.04,-0.14
take,2,52,-0.04,-0.16
is_true_,3,50,-0.06,-0.13
girl,2,55,-0.04,-0.16
love,1,54,-0.0,0.0
name,2,52,-0.05,-0.16
give,1,67,-0.11,-0.09
forget,3,51,-0.02,-0.15
thank,3,50,-0.03,-0.15
forget,1,61,-0.06,-0.15
joke,2,55,-0.04,-0.15
read,1,63,-0.12,-0.1
boy,2,56,-0.06,-0.16
zero,3,53,-0.05,-0.16
wild,2,56,-0.06,-0.15
cold,2,57,-0.1,-0.01
science,2,63,-0.09,-0.15
wait_notyet_,1,59,-0.05,0.09
come,1,52,-0.03,-0.15
hello,3,48,-0.05,-0.16
why,2,56,-0.04,-0.16
why,3,74,-0.03,-0.15
zero,1,48,-0.06,-0.15
hear,2,55,-0.05,-0.16
happy,3,61,-0.16,-0.11
please,2,53,-0.02,-0.15
glove,3,50,-0.05,-0.03
where,2,56,-0.19,-0.13
joke,1,67,-0.06,-0.14
maybe,3,53,-0.06,-0.14
later,2,56,-0.04,-0.11
cold,3,62,-0.05,0.02
name,3,72,-0.04,-0.15
money,2,55,-0.13,-0.08
mine,2,54,-0.06,-0.17
you,1,52,-0.0,-0.16
hello,1,69,-0.03,-0.15
flash,light,54,0.02,-0.13
responsible,1,54,-0.1,0.12
change_mind_,1,56,-0.04,-0.16
more,1,51,-0.06,-0.15
take,3,54,-0.02,-0.16
come,3,50,-0.06,-0.16
go,2,53,0.01,0.02
God,1,62,0.01,-0.09
write,3,87,-0.12,-0.05
hurt,3,57,-0.04,-0.16
juice,1,63,-0.1,-0.15
head,3,49,-0.04,-0.15
change_mind_,2,55,-0.05,-0.14
sorry,3,56,-0.05,-0.15
joke,3,51,-0.05,-0.15
head,1,52,-0.05,-0.15
will,1,53,-0.04,-0.15
buy,3,51,-0.11,-0.04
who,2,59,-0.04,-0.16
tray,2,61,-0.03,-0.04
no,1,51,-0.06,-0.14
money,1,56,-0.1,-0.1
when,3,71,-0.05,-0.16
pen,1,62,-0.05,-0.15
all,2,56,-0.04,-0.17
different,3,49,0.07,-0.04
innocent,2,55,-0.03,-0.15
will,3,49,-0.05,-0.16
computer_PC_,1,60,-0.05,0.02
hurry,1,54,-0.05,-0.1
make,3,58,-0.05,-0.1
his_hers,1,50,-0.05,-0.15
you,3,52,-0.05,-0.16
hurt,1,58,-0.03,-0.15
where,3,59,-0.19,-0.16
what,2,49,-0.06,-0.16
alive,2,53,-0.05,-0.14
innocent,3,71,-0.05,-0.16
girl,3,51,-0.03,-0.16
all,1,56,-0.04,-0.15
read,2,59,-0.16,-0.1
right,2,48,-0.06,-0.16
shop,1,50,-0.09,-0.06
paper,1,55,-0.05,-0.15
lose,3,54,-0.07,-0.08
wrong,3,51,-0.05,-0.14
voluntary,2,56,-0.06,-0.16
what,1,52,-0.04,-0.14
wrong,2,51,-0.05,-0.15
money,3,56,-0.1,-0.1
research,1,55,0.01,-0.01
wild,3,59,-0.05,-0.14
polite,1,55,-0.05,-0.16
hot,3,49,-0.05,-0.16
know,1,58,-0.04,-0.17
when,1,70,-0.05,-0.16
sad,2,81,-0.05,-0.15
you,2,60,-0.04,-0.16
surprise,1,49,-0.04,-0.16
not,my,51,-0.1,-0.07
voluntary,3,60,-0.04,-0.15
alive,1,55,-0.05,-0.15
hurry,2,62,-0.05,-0.15
building,2,67,0.01,0.0
exit,1,56,-0.05,-0.01
I,1,52,-0.04,-0.16
mine,1,49,-0.03,-0.15
science,3,67,-0.05,-0.16
question,1,51,-0.04,-0.02
girl,1,52,-0.06,-0.15
soon,3,56,-0.05,-0.15
eat,1,53,-0.06,-0.16
cost,1,51,-0.1,-0.08
innocent,1,56,-0.05,-0.16
eat,2,60,-0.05,-0.16
sad,1,75,-0.06,-0.16
us,1,52,-0.02,-0.16
no,3,51,-0.05,-0.16
what,3,75,-0.05,-0.15
his_hers,3,51,-0.03,-0.16
I,3,51,-0.02,-0.15
voluntary,1,61,-0.05,-0.16
where,1,54,-0.23,-0.15
lose,1,51,-0.06,-0.09
cold,1,57,-0.08,0.03
hurt,2,57,-0.06,-0.16
paper,3,54,-0.07,-0.07
happy,2,58,-0.13,-0.05
thank,1,50,-0.04,-0.16
hurry,3,57,-0.06,-0.04
go,3,51,0.01,0.01
please,3,52,-0.03,-0.15
more,2,51,-0.05,-0.16
maybe,1,53,-0.06,-0.14
sad,3,53,-0.04,-0.16
boy,3,55,-0.03,-0.16
share,1,62,-0.04,-0.11
who,3,57,-0.02,-0.14
crazy,2,59,-0.04,-0.15
man,2,52,-0.05,-0.16
know,2,53,-0.04,-0.16
drink,3,51,-0.05,-0.15
soon,1,70,-0.02,-0.16
different,2,51,0.06,-0.07
draw,3,54,-0.15,-0.06
shop,3,54,-0.13,-0.05
exit,2,54,-0.06,0.01
hear,3,55,-0.05,-0.14
building,1,80,-0.03,-0.12
not,my,52,-0.17,-0.1
make,2,52,-0.06,-0.04
take,1,53,-0.04,-0.14
deaf,2,74,-0.06,-0.14
glove,1,57,-0.06,-0.06
spend,3,56,-0.11,-0.12
forget,2,55,-0.06,-0.18
question,2,61,-0.04,-0.12
wild,1,64,-0.04,-0.17
same,1,56,-0.04,-0.06
hot,1,54,-0.04,-0.16
which,2,60,-0.03,-0.18
juice,2,64,-0.09,-0.13
Norway,1,59,-0.04,-0.17
please,1,57,-0.05,-0.17
hot,2,56,-0.04,-0.18
stubborn,2,53,-0.05,-0.01
crazy,3,67,-0.05,-0.18
Norway,3,63,-0.03,-0.18
danger,2,60,-0.04,-0.16
share,2,66,-0.07,-0.12
crazy,1,61,-0.03,-0.17
spend,2,59,-0.08,-0.06
glove,2,66,-0.1,-0.12
stubborn,3,74,-0.04,-0.17
read,3,76,-0.05,-0.17
spend,1,60,-0.06,-0.11
write,1,65,-0.09,-0.12
more,3,60,-0.04,-0.17
research,3,70,-0.05,-0.17
buy,1,54,-0.11,-0.11
tray,1,74,-0.0,-0.07
is_true_,1,62,-0.04,-0.12
answer,3,61,-0.05,-0.17
later,1,51,-0.03,-0.11
mine,3,56,-0.03,-0.19
paper,2,58,-0.05,-0.12
ready,3,57,-0.09,-0.15
computer_PC_,3,65,-0.03,-0.09
how,1,61,-0.05,-0.14
surprise,3,93,-0.03,-0.18
drink,2,57,-0.02,-0.18
responsible,2,61,-0.11,-0.05
question,3,62,-0.03,-0.11
later,3,62,-0.04,-0.17
think,2,58,-0.03,-0.17
head,2,57,-0.03,-0.17
make,1,62,-0.04,-0.12
how,3,58,-0.05,-0.16
polite,2,56,-0.02,-0.18
temper,2,58,-0.05,-0.15
I,2,53,-0.06,-0.17
surprise,2,58,-0.06,-0.18
boy,1,59,-0.05,-0.18
no,2,54,-0.02,-0.18
his_hers,2,56,-0.05,-0.18
change_mind_,3,62,-0.04,-0.18
flash,light,68,-0.04,-0.18
which,3,59,-0.06,-0.17
yes,3,54,-0.05,-0.18
alive,3,58,-0.02,-0.17
all,3,79,-0.02,-0.18
answer,2,56,-0.05,-0.1
who,1,59,-0.03,-0.18
deaf,3,65,-0.04,-0.16
hear,1,71,-0.05,-0.15
eat,3,60,-0.06,-0.18
will,2,54,-0.03,-0.17
research,2,64,-0.04,-0.09
draw,1,60,-0.04,-0.17
think,3,56,-0.03,-0.17
us,3,57,-0.05,-0.17
right,3,55,-0.05,-0.17
same,3,55,-0.04,-0.11
ready,2,60,-0.15,-0.11
draw,2,70,-0.16,-0.06
love,2,60,-0.0,-0.02
pen,2,57,-0.04,-0.18
pen,3,92,-0.05,-0.18
danger,1,59,-0.05,-0.16
lose,2,58,-0.1,-0.07
cost,2,57,-0.11,-0.07
come,2,57,-0.03,-0.17
not,my,54,-0.11,-0.08
man,1,55,-0.05,-0.17
sorry,2,57,-0.04,-0.16
give,3,62,-0.05,-0.16
happy,1,57,-0.15,-0.09
drink,1,55,-0.04,-0.17
wrong,1,54,-0.03,-0.16
right,1,49,-0.04,-0.17
buy,2,66,-0.09,-0.11
polite,3,61,-0.05,-0.18
exit,3,79,-0.03,-0.12
flash,light,66,-0.05,-0.17
maybe,2,57,-0.02,-0.16
computer_PC_,2,75,-0.05,-0.15
Norway,2,68,-0.05,-0.16
how,2,52,-0.04,-0.13
think,1,55,-0.03,-0.18
why,1,56,-0.02,-0.15
God,2,57,-0.05,-0.12
God,3,61,-0.04,-0.18
yes,1,61,-0.05,-0.17
temper,1,58,-0.11,-0.04
give,2,57,-0.06,-0.09
stubborn,1,56,-0.06,-0.11
tray,3,62,-0.04,-0.1
love,3,61,-0.05,-0.06
when,2,73,-0.03,-0.18
temper,3,65,-0.04,-0.13
science,1,64,-0.05,-0.17
building,3,68,-0.05,-0.17
sorry,1,58,-0.05,-0.17
is_true_,2,60,-0.09,-0.11
zero,2,54,-0.05,-0.17
answer,1,53,-0.01,-0.13
different,1,57,-0.03,-0.16
us,2,57,-0.03,-0.17
man,3,65,-0.02,-0.18
name,1,56,-0.05,-0.17
danger,3,61,-0.04,-0.16
soon,2,61,-0.02,-0.17
write,2,66,-0.1,-0.12
share,3,67,-0.04,-0.12
cost,3,52,-0.07,-0.17
ready,1,61,-0.09,-0.13
shop,2,56,-0.12,-0.11
thank,2,56,-0.04,-0.18
same,2,56,-0.04,-0.12
wait_notyet_,2,61,-0.06,-0.12
hello,2,54,-0.06,-0.18
know,3,53,-0.05,-0.18
responsible,3,69,-0.07,-0.11
go,1,55,-0.05,-0.11
yes,2,63,-0.04,-0.18
wait_notyet_,3,62,-0.02,-0.15
juice,3,64,-0.16,-0.14
deaf,1,60,-0.04,-0.17
which,1,60,-0.04,-0.16
take,2,58,-0.04,-0.17
is_true_,3,60,-0.04,-0.12
girl,2,60,-0.04,-0.18
love,1,56,-0.09,-0.11
name,2,58,-0.04,-0.16
give,1,58,-0.06,-0.11
forget,3,60,-0.02,-0.16
thank,3,54,-0.05,-0.18
forget,1,57,-0.04,-0.18
joke,2,65,-0.05,-0.17
read,1,62,-0.13,-0.1
boy,2,60,-0.03,-0.17
zero,3,52,-0.04,-0.16
wild,2,62,-0.06,-0.16
cold,2,61,-0.05,-0.12
science,2,66,-0.05,-0.17
wait_notyet_,1,63,-0.05,-0.1
come,1,53,-0.03,-0.17
hello,3,52,-0.06,-0.17
why,2,59,-0.05,-0.17
why,3,63,-0.02,-0.18
zero,1,51,-0.05,-0.17
hear,2,53,0.0,-0.17
happy,3,64,-0.03,-0.17
please,2,56,-0.06,-0.19
glove,3,61,-0.08,-0.16
where,2,69,-0.06,-0.13
joke,1,56,-0.06,-0.17
maybe,3,62,-0.04,-0.18
later,2,61,-0.04,-0.13
cold,3,60,-0.04,-0.14
name,3,61,-0.05,-0.17
money,2,69,-0.1,-0.12
mine,2,53,-0.01,-0.17
you,1,54,-0.05,-0.17
hello,1,61,-0.05,-0.16
flash,light,66,-0.05,-0.12
responsible,1,61,-0.13,-0.1
change_mind_,1,60,-0.05,-0.18
more,1,51,-0.05,-0.17
take,3,57,-0.05,-0.17
come,3,83,-0.06,-0.16
go,2,56,-0.03,-0.18
God,1,58,-0.03,-0.12
write,3,70,-0.07,-0.14
hurt,3,61,-0.06,-0.17
juice,1,66,-0.13,-0.11
head,3,57,-0.05,-0.18
change_mind_,2,64,-0.05,-0.18
sorry,3,63,-0.04,-0.17
joke,3,58,-0.04,-0.17
head,1,56,-0.05,-0.16
will,1,54,-0.04,-0.18
buy,3,52,-0.1,-0.11
who,2,66,-0.03,-0.18
tray,2,65,-0.03,-0.17
no,1,52,-0.03,-0.16
money,1,59,-0.1,-0.12
when,3,60,-0.06,-0.17
pen,1,57,-0.05,-0.15
all,2,58,-0.04,-0.18
different,3,61,-0.04,-0.18
innocent,2,87,-0.05,-0.17
will,3,54,-0.04,-0.18
computer_PC_,1,61,-0.05,-0.18
hurry,1,55,-0.05,-0.15
make,3,61,-0.05,-0.15
his_hers,1,56,-0.05,-0.16
you,3,55,-0.06,-0.18
hurt,1,61,-0.04,-0.17
where,3,61,-0.12,-0.12
what,2,56,-0.0,-0.16
alive,2,59,-0.05,-0.18
innocent,3,53,-0.04,-0.17
girl,3,60,-0.03,-0.18
all,1,62,-0.05,-0.17
read,2,66,-0.09,-0.12
right,2,56,-0.04,-0.16
shop,1,64,-0.15,-0.06
paper,1,56,-0.05,-0.15
lose,3,61,-0.03,-0.17
wrong,3,51,-0.05,-0.17
voluntary,2,64,-0.04,-0.17
what,1,57,-0.04,-0.17
wrong,2,57,-0.04,-0.16
money,3,62,-0.05,-0.15
research,1,60,-0.05,-0.05
wild,3,70,-0.01,-0.18
polite,1,62,-0.04,-0.18
hot,3,55,-0.05,-0.16
know,1,54,-0.04,-0.17
when,1,61,-0.04,-0.18
sad,2,68,-0.01,-0.18
you,2,51,-0.04,-0.18
surprise,1,56,-0.06,-0.17
not,my,54,-0.12,-0.12
voluntary,3,61,-0.02,-0.16
alive,1,57,-0.05,-0.17
hurry,2,56,-0.05,-0.12
building,2,72,0.01,-0.06
exit,1,55,-0.04,-0.11
I,1,55,-0.04,-0.17
mine,1,49,-0.03,-0.17
science,3,70,-0.02,-0.16
question,1,55,-0.06,-0.11
girl,1,59,-0.04,-0.16
soon,3,66,-0.04,-0.17
eat,1,54,-0.03,-0.18
cost,1,55,-0.11,-0.13
innocent,1,52,-0.05,-0.17
eat,2,58,-0.02,-0.16
sad,1,57,-0.03,-0.17
us,1,55,-0.03,-0.18
